

--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Kiev,UA,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Köln,DE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Lake Forest",US,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Lanham,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Las Vegas",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",London,GB,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Los Angeles",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Madrid,ES,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Maglie,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Mahwah,US,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Malappuram,IN,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Massarosa,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Milan,IT,202210,30
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Minneapolis,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Montréal,CA,202210,7
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Morbegno,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Moscow,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Mountain View",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Mumbai,IN,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Nanchang,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Nanjing,CN,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Napoli,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Nerviano,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Neunkirchen,DE,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal","New York",US,202210,50
,Journal,"Cinéma & Cie. Film and Media Studies Journal","North York",CA,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Norwalk,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Olomouc,CZ,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Opera,IT,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Palo Alto",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Paris,FR,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Parramatta,AU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Péfki,GR,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Penza,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Phoenix,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Piacenza,IT,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Pieve,IT,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Pilot Mountain",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Podolsk,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Portsmouth,GB,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Provo,US,202210,13
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Redwood City",US,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Rome,IT,202210,13
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Saint Petersburg",RU,202210,31
,Journal,"Cinéma & Cie. Film and Media Studies Journal","San Diego",US,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal","San Francisco",US,202210,14
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Sankt-peterburg,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Santa Maria",IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Santa Maria A Vico",IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Santa Rosa",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Seongnam,KR,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Seregno,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Sevastopol,UA,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Seveso,IT,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Shanghai,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Sheffield,GB,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Singapore,SG,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Somerville,US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Southend,GB,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Stockholm,SE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Storm Lake",US,202210,8
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Straubing,DE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Taipei,TW,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Taiyuan,CN,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Tavagnacco,IT,202210,10
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Tokyo,JP,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Tomsk,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Torino,IT,202210,9
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Tredozio,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Udine,IT,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Utrecht,NL,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Vancouver,CA,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Varese,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Västerås,SE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Vechta,DE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Véry,FR,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Victoria,CA,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Victoria,TT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Villorba,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Washington,US,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Wilmington,US,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Woodbridge,US,202210,17
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Xian,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Yekaterinburg,RU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Zhengzhou,CN,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Zurich,CH,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,,202210,482


--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""259""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,AU,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,BE,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,BG,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,CA,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,CH,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,CZ,202210,3
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,DE,202210,8
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,ES,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,FR,202210,12
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,GB,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,GE,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,IT,202210,90
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,KR,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,NL,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,PL,202210,5
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,PT,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,RO,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,SK,202210,6
,Issue,"Cinéma & Cie. Film and Media Studies Journal",,US,202210,53
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Abbiategrasso,IT,202210,1
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Aberdeen,GB,202210,4
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Åtvidaberg,SE,202210,18
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Bergamo,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Brivio,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Cagliari,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Carlentini,IT,202210,2
,Issue,"Cinéma & Cie. Film and Media Studies Journal",Carmel,US,202210,1
