

--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,"Files della proposta","Società e diritti",Lamporecchio,IT,202210,1
,"Files della proposta","Società e diritti","Las Vegas",US,202210,1
,"Files della proposta","Società e diritti",Lecce,IT,202210,5
,"Files della proposta","Società e diritti",Legnano,IT,202210,1
,"Files della proposta","Società e diritti",Leuven,BE,202210,1
,"Files della proposta","Società e diritti","Levico Terme",IT,202210,1
,"Files della proposta","Società e diritti",Lima,PE,202210,4
,"Files della proposta","Società e diritti",Limbiate,IT,202210,5
,"Files della proposta","Società e diritti",Lissone,IT,202210,1
,"Files della proposta","Società e diritti",Livorno,IT,202210,1
,"Files della proposta","Società e diritti","Locate Di Triulzi",IT,202210,1
,"Files della proposta","Società e diritti",Lomazzo,IT,202210,1
,"Files della proposta","Società e diritti",London,GB,202210,1
,"Files della proposta","Società e diritti",Lugo,IT,202210,1
,"Files della proposta","Società e diritti",Luino,IT,202210,2
,"Files della proposta","Società e diritti",Lyons,FR,202210,1
,"Files della proposta","Società e diritti",Macello,IT,202210,1
,"Files della proposta","Società e diritti",Maddaloni,IT,202210,1
,"Files della proposta","Società e diritti",Malakoff,FR,202210,1
,"Files della proposta","Società e diritti",Mantova,IT,202210,1
,"Files della proposta","Società e diritti",Marino,IT,202210,1
,"Files della proposta","Società e diritti",Marsala,IT,202210,1
,"Files della proposta","Società e diritti",Martinengo,IT,202210,1
,"Files della proposta","Società e diritti",Massa,IT,202210,1
,"Files della proposta","Società e diritti",Medole,IT,202210,1
,"Files della proposta","Società e diritti",Messina,IT,202210,1
,"Files della proposta","Società e diritti",Mexico,MX,202210,2
,"Files della proposta","Società e diritti",Milan,IT,202210,245
,"Files della proposta","Società e diritti",Minerbio,IT,202210,1
,"Files della proposta","Società e diritti",Mira,IT,202210,1
,"Files della proposta","Società e diritti",Misilmeri,IT,202210,1
,"Files della proposta","Società e diritti",Modena,IT,202210,3
,"Files della proposta","Società e diritti",Monsano,IT,202210,2
,"Files della proposta","Società e diritti",Montagnana,IT,202210,1
,"Files della proposta","Società e diritti","Montalbano Jonico",IT,202210,1
,"Files della proposta","Società e diritti","Montecatini Terme",IT,202210,1
,"Files della proposta","Società e diritti",Montechiarugolo,IT,202210,1
,"Files della proposta","Società e diritti","Montecorvino Rovella",IT,202210,2
,"Files della proposta","Società e diritti",Montemurlo,IT,202210,1
,"Files della proposta","Società e diritti",Monterotondo,IT,202210,1
,"Files della proposta","Società e diritti",Monterrey,MX,202210,2
,"Files della proposta","Società e diritti",Montevideo,UY,202210,3
,"Files della proposta","Società e diritti",Montichiari,IT,202210,1
,"Files della proposta","Società e diritti",Mordano,IT,202210,2
,"Files della proposta","Società e diritti",Moscow,RU,202210,3
,"Files della proposta","Società e diritti","Mountain View",US,202210,2
,"Files della proposta","Società e diritti",Mozzate,IT,202210,1
,"Files della proposta","Società e diritti",Mumbai,IN,202210,32
,"Files della proposta","Società e diritti",Nancy,FR,202210,1
,"Files della proposta","Società e diritti",Naples,IT,202210,3
,"Files della proposta","Società e diritti",Napoli,IT,202210,16
,"Files della proposta","Società e diritti",Nerviano,IT,202210,2
,"Files della proposta","Società e diritti","New York",US,202210,4
,"Files della proposta","Società e diritti",Nichelino,IT,202210,1
,"Files della proposta","Società e diritti","Nocera Superiore",IT,202210,1
,"Files della proposta","Società e diritti",Novara,IT,202210,1
,"Files della proposta","Società e diritti","Novi Di Modena",IT,202210,4
,"Files della proposta","Società e diritti",Oakland,US,202210,51
,"Files della proposta","Società e diritti","Olevano Romano",IT,202210,1
,"Files della proposta","Società e diritti",Omegna,IT,202210,2
,"Files della proposta","Società e diritti",Orléans,FR,202210,2
,"Files della proposta","Società e diritti",Ospitaletto,IT,202210,1
,"Files della proposta","Società e diritti",Ozoir-la-ferrière,FR,202210,1
,"Files della proposta","Società e diritti",Padova,IT,202210,5
,"Files della proposta","Società e diritti",Padua,IT,202210,3
,"Files della proposta","Società e diritti",Palazzolo,IT,202210,1
,"Files della proposta","Società e diritti",Palermo,IT,202210,3
,"Files della proposta","Società e diritti","Palo Del Colle",IT,202210,2
,"Files della proposta","Società e diritti",Pannes,FR,202210,1
,"Files della proposta","Società e diritti",Paris,FR,202210,9
,"Files della proposta","Società e diritti",Parma,IT,202210,4
,"Files della proposta","Società e diritti",Pasadena,US,202210,1
,"Files della proposta","Società e diritti",Pátra,GR,202210,1
,"Files della proposta","Società e diritti",Pavia,IT,202210,2
,"Files della proposta","Società e diritti",Pellezzano,IT,202210,3
,"Files della proposta","Società e diritti",Perugia,IT,202210,1
,"Files della proposta","Società e diritti",Pescara,IT,202210,1
,"Files della proposta","Società e diritti","Pettorazza Grimani",IT,202210,1
,"Files della proposta","Società e diritti",Piacenza,IT,202210,1
,"Files della proposta","Società e diritti",Piedimonte,IT,202210,2
,"Files della proposta","Società e diritti",Pietrasanta,IT,202210,1
,"Files della proposta","Società e diritti",Pieve,IT,202210,1
,"Files della proposta","Società e diritti",Pignone,IT,202210,1
,"Files della proposta","Società e diritti",Pimonte,IT,202210,1
,"Files della proposta","Società e diritti",Pinzolo,IT,202210,1
,"Files della proposta","Società e diritti",Pisa,IT,202210,3
,"Files della proposta","Società e diritti",Pistoia,IT,202210,1
,"Files della proposta","Società e diritti",Podenzana,IT,202210,1
,"Files della proposta","Società e diritti",Postioma,IT,202210,1
,"Files della proposta","Società e diritti","Pozzo Di Gotto",IT,202210,1
,"Files della proposta","Società e diritti",Pozzuoli,IT,202210,1
,"Files della proposta","Società e diritti",Prato,IT,202210,1
,"Files della proposta","Società e diritti",Preganziol,IT,202210,1
,"Files della proposta","Società e diritti","Pueblo Nuevo",PA,202210,2
,"Files della proposta","Società e diritti",Ravenna,IT,202210,1
,"Files della proposta","Società e diritti","Redwood City",US,202210,3
,"Files della proposta","Società e diritti","Reggio Calabria",IT,202210,1
,"Files della proposta","Società e diritti",Rende,IT,202210,1
,"Files della proposta","Società e diritti",Rho,IT,202210,2
,"Files della proposta","Società e diritti",Rieti,IT,202210,1
,"Files della proposta","Società e diritti","Rio De Janeiro",BR,202210,1
,"Files della proposta","Società e diritti","Rocca Massima",IT,202210,1
,"Files della proposta","Società e diritti",Romano,IT,202210,1
,"Files della proposta","Società e diritti",Rome,IT,202210,68
,"Files della proposta","Società e diritti",Rossiglione,IT,202210,1
,"Files della proposta","Società e diritti",Roverbella,IT,202210,1
,"Files della proposta","Società e diritti",Rovigo,IT,202210,1
,"Files della proposta","Società e diritti",Rubano,IT,202210,2
,"Files della proposta","Società e diritti",Sabbioneta,IT,202210,2
,"Files della proposta","Società e diritti",Sacile,IT,202210,1
,"Files della proposta","Società e diritti",Saint-maur-des-fossés,FR,202210,1
,"Files della proposta","Società e diritti","Sala Bolognese",IT,202210,1
,"Files della proposta","Società e diritti",Salamanca,ES,202210,1
,"Files della proposta","Società e diritti",Salento,IT,202210,1
,"Files della proposta","Società e diritti",Salerno,IT,202210,5
,"Files della proposta","Società e diritti",Saluzzo,IT,202210,1
,"Files della proposta","Società e diritti",Samassi,IT,202210,1
,"Files della proposta","Società e diritti","San Diego",US,202210,1
,"Files della proposta","Società e diritti","San Donato Di Lecce",IT,202210,2
,"Files della proposta","Società e diritti","San Felice Sul Panaro",IT,202210,1
,"Files della proposta","Società e diritti","San Francisco",US,202210,5
,"Files della proposta","Società e diritti","San Giovanni La Punta",IT,202210,1
,"Files della proposta","Società e diritti","San Giovanni Rotondo",IT,202210,1
,"Files della proposta","Società e diritti","San Giuliano Milanese",IT,202210,1
,"Files della proposta","Società e diritti","Sannicandro Di Bari",IT,202210,1
,"Files della proposta","Società e diritti","San Nicola",IT,202210,1
,"Files della proposta","Società e diritti","San Piero A Sieve",IT,202210,1
,"Files della proposta","Società e diritti","San Salvador",SV,202210,1
,"Files della proposta","Società e diritti","San Sosti",IT,202210,1
,"Files della proposta","Società e diritti","Santa Maria A Monte",IT,202210,2
,"Files della proposta","Società e diritti","Sant'angelo Lodigiano",IT,202210,1
,"Files della proposta","Società e diritti","Santa Teresa Di Riva",IT,202210,1
,"Files della proposta","Società e diritti","Sant'elpidio A Mare",IT,202210,1
,"Files della proposta","Società e diritti",Santiago,CL,202210,2
,"Files della proposta","Società e diritti","Santo Domingo",DO,202210,2
,"Files della proposta","Società e diritti",Sarajevo,BA,202210,1
,"Files della proposta","Società e diritti",Saronno,IT,202210,1
,"Files della proposta","Società e diritti",Sarroch,IT,202210,2
,"Files della proposta","Società e diritti",Sassari,IT,202210,1
,"Files della proposta","Società e diritti",Scandicci,IT,202210,1
,"Files della proposta","Società e diritti",Scanzano,IT,202210,1
,"Files della proposta","Società e diritti",Seattle,US,202210,1
,"Files della proposta","Società e diritti",Sermoneta,IT,202210,1
,"Files della proposta","Società e diritti","Serrara Fontana",IT,202210,1
,"Files della proposta","Società e diritti","Sesto San Giovanni",IT,202210,1
,"Files della proposta","Società e diritti",Siena,IT,202210,4
,"Files della proposta","Società e diritti",Solesino,IT,202210,1
,"Files della proposta","Società e diritti","Sommariva Del Bosco",IT,202210,1
,"Files della proposta","Società e diritti",Sondrio,IT,202210,1
,"Files della proposta","Società e diritti",Southend,GB,202210,5
,"Files della proposta","Società e diritti",Spadafora,IT,202210,1
,"Files della proposta","Società e diritti",Spoleto,IT,202210,1
,"Files della proposta","Società e diritti",Stimigliano,IT,202210,1
,"Files della proposta","Società e diritti",Sucy-en-brie,FR,202210,1
,"Files della proposta","Società e diritti",Suresnes,FR,202210,2
,"Files della proposta","Società e diritti",Sutri,IT,202210,1
,"Files della proposta","Società e diritti",Sydney,AU,202210,1
,"Files della proposta","Società e diritti",Taranto,IT,202210,4
,"Files della proposta","Società e diritti",Tolentino,IT,202210,3
,"Files della proposta","Società e diritti",Toluca,MX,202210,1
,"Files della proposta","Società e diritti",Torino,IT,202210,15
,"Files della proposta","Società e diritti",Trani,IT,202210,2
,"Files della proposta","Società e diritti",Trapani,IT,202210,2
,"Files della proposta","Società e diritti",Trappes,FR,202210,1
,"Files della proposta","Società e diritti",Travagliato,IT,202210,1
,"Files della proposta","Società e diritti",Trento,IT,202210,1
,"Files della proposta","Società e diritti",Treviglio,IT,202210,3
,"Files della proposta","Società e diritti",Trieste,IT,202210,2
,"Files della proposta","Società e diritti",Turin,IT,202210,6
,"Files della proposta","Società e diritti","Valeggio Sul Mincio",IT,202210,2
,"Files della proposta","Società e diritti",Valencia,ES,202210,1
,"Files della proposta","Società e diritti",Vaprio,IT,202210,2
,"Files della proposta","Società e diritti",Varedo,IT,202210,1
,"Files della proposta","Società e diritti",Verbicaro,IT,202210,1
,"Files della proposta","Società e diritti",Verona,IT,202210,3
,"Files della proposta","Società e diritti",Vicenza,IT,202210,1
,"Files della proposta","Società e diritti",Vigevano,IT,202210,5
,"Files della proposta","Società e diritti","Villanova D'asti",IT,202210,2
,"Files della proposta","Società e diritti",Villaricca,IT,202210,1
,"Files della proposta","Società e diritti",Vimodrone,IT,202210,1
,"Files della proposta","Società e diritti",Vitry-sur-seine,FR,202210,1
,"Files della proposta","Società e diritti","Vittorio Veneto",IT,202210,1
,"Files della proposta","Società e diritti",Vittuone,IT,202210,3
,"Files della proposta","Società e diritti",Wilmington,US,202210,3
,"Files della proposta","Società e diritti",Wolfurt,AT,202210,1
,"Files della proposta","Società e diritti",Woodbridge,US,202210,1
,"Files della proposta","Società e diritti",Zanica,IT,202210,1
,"Files della proposta","Società e diritti",,,202210,335


--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""1048585""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,Articolo,"Società e diritti",,AR,202210,1
,Articolo,"Società e diritti",,BR,202210,1
,Articolo,"Società e diritti",,CH,202210,1
,Articolo,"Società e diritti",,DE,202210,3
,Articolo,"Società e diritti",,FR,202210,5
,Articolo,"Società e diritti",,GB,202210,11
,Articolo,"Società e diritti",,IN,202210,3
,Articolo,"Società e diritti",,IR,202210,1
,Articolo,"Società e diritti",,IT,202210,54
,Articolo,"Società e diritti",,NL,202210,1
,Articolo,"Società e diritti",,PE,202210,5
,Articolo,"Società e diritti",,US,202210,51
,Articolo,"Società e diritti",Alba,IT,202210,1
,Articolo,"Società e diritti","Ann Arbor",US,202210,2
,Articolo,"Società e diritti",Ashburn,US,202210,4
,Articolo,"Società e diritti",Avrainville,FR,202210,1
